"rab.all"	"rab.win.OVA.H"	"rab.win.OVA.R"	"rab.sample.C17"	"rab.sample.C29"	"rab.sample.C41"	"rab.sample.C53"	"rab.sample.C65"	"rab.sample.C77"	"rab.sample.C89"	"rab.sample.C6"	"rab.sample.C16"	"rab.sample.C28"	"rab.sample.C40"	"rab.sample.C52"	"rab.sample.C64"	"rab.sample.C76"	"rab.sample.C88"	"rab.sample.C5"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Anaerostipes"	2.19859447091535	4.52157280747342	-5.95193441271812	4.72449139921692	5.58815576175416	4.66805059693968	5.91667368800028	3.63413153280413	4.3234275905551	2.42938370510469	3.72971454694195	-7.70549815392918	1.92258208552966	-7.53517960972141	-8.17013302301701	-7.36277370238015	0.3663765365854	-7.80880752178242	1.61382333604073	10.0061064990609	6.47068290492982	1.50675829065211	0.00197273405648325	0.00233970694645338	0.0407299851017739	0.000157828282828283	0.0100008903133903	"Significant"
"Bifidobacterium"	1.78757608296986	0.968109104880493	2.99843944853996	1.3463922115205	0.968873542030901	1.10378633737199	-1.67596873758912	-1.8957656676534	1.08741384546528	-2.5652672931038	2.47301879941727	1.80756776380045	3.47067806003594	1.81296383759571	2.40842183128783	1.9575090101943	4.4114361899336	3.50821046728771	3.75683732657331	-2.50949782283879	2.23340560569519	-1.21341011168266	0.0545815799777585	0.00387222725929307	0.0543212843545445	0.00176160644910645	0.0276159610416239	"Significant"
"Christensenellaceae"	0.535134255115158	1.77156668456994	0.0735127450358304	1.99449370118845	2.54836900492361	0.33941448246706	2.19119884298562	1.52161425082232	1.43700073172047	0.418397395378802	3.02655298211835	0.405542181944058	0.592025747123708	-1.36140874299309	-0.455167490425787	-0.802651115315541	-0.143866626292754	0.432630093001368	0.472927443601537	1.78603493947733	1.26607788301003	1.33757124805833	0.0820316911087102	0.00166941701202316	0.0345205712524436	0.00460130147630148	0.04425291076502	"Significant"
"Clostridium_sensu_stricto_1"	4.23818257408133	4.78877280746016	1.10329445344008	5.00988509762231	4.592583886091	4.29942460069781	3.60449743462965	5.2294556579761	5.31008567883386	4.34147261789762	6.02188905195784	4.25177782764775	4.49380458636775	3.49032053973783	2.77623485263776	-7.34669389989532	-1.91556798643051	-7.70389905213084	-1.21725801067822	3.80617479513739	4.98139834546773	0.936758158311352	0.0779731742460062	0.0267050604855971	0.156311501465767	0.00349771756021756	0.0391018949323145	"Significant"
"Dubosiella"	3.84905247863551	1.32236514111018	5.2359089020932	1.17073899414088	1.61907147497341	1.43245088812889	-0.095513027781065	-1.00174378939529	2.17875907377296	-1.85540610340459	4.22283157835319	3.50160799595067	5.52665070054397	4.15980196122231	4.82082520998113	4.50870743800477	6.2855498002926	5.61085759671366	5.79210854348155	-4.0757418343596	2.15003300829328	-1.88722744037456	0.0253426515974776	0.000329567198081414	0.0207703369640041	0.000514763014763015	0.0151605628168128	"Significant"
"Family_XIII"	0.315843570305933	1.04336072499653	-0.501905981076817	-0.235456546899484	0.812340073462215	0.748953135116244	1.23849325758848	1.8053476082903	0.263801959625162	1.31348593610316	2.4934263527272	0.706986401647542	-1.64833272106196	-0.0234427197912339	-5.2824123523344	-1.44920465677076	-1.07122372738983	-0.00306342776252322	0.294997316389924	1.693260907788	1.64273000734868	0.964386778573851	0.0937503800015545	0.0222668653698916	0.139172243096563	0.0061662296037296	0.0529033185691111	"Significant"
"Lachnospiraceae_FCS020_group"	0.0481685153071103	-0.676707670006735	0.737420068924788	-1.62748688937812	-0.298783353808253	-0.794406911454916	0.180823029299111	-0.811382414411824	-7.32359107855291	0.174206150648381	-0.811389670616967	1.84471758964317	0.0679459183580455	0.970066447383569	0.845090478948365	3.56145919095863	-1.69339588205413	0.52360099345049	0.566283386631606	-1.51490356892213	2.09011785920494	-0.747583555654472	0.128906512639189	0.060917066997972	0.240940343898597	0.014500777000777	0.0925588051767482	"Significant"
"Lachnospiraceae_UCG.001"	3.5572168384444	4.57387263271683	2.84645731179746	2.81909814362763	5.56741950087982	4.65540250457146	3.10500848273746	4.16867384808351	5.50673677502321	5.4803147832769	4.45124361967062	4.09908708446449	2.58894283504504	1.21034073301111	2.60032945895094	3.90485664991	3.07719225031429	0.534908490761365	3.02770764866095	1.73032545629955	1.6494474664777	1.01485049661064	0.126705920084985	0.00792925196023915	0.0843148070633928	0.0107153263403263	0.0761442810497698	"Significant"
"Marvinbryantia"	-3.42220902706102	-7.71862983221664	-1.88641998467613	-7.97838639302356	-8.63141259964713	-8.81176039522538	-8.35829144930133	-8.19035973994307	-8.90953630812978	-3.35190719055438	-7.340015080899	-0.228613039217819	-2.94773163721445	-1.54873639013092	-2.76470014559209	0.0746646799683646	-2.93051427160713	-2.46432920768253	-1.28324546340356	-5.93308979764676	3.42513484152889	-1.57492672852965	0.0155970383678886	0.00146194978983532	0.028977311181564	0.000469842657342657	0.0125360287860288	"Significant"
"Ruminiclostridium_6"	0.828505055845886	2.78158988361309	0.0525991791550888	2.72739653141359	3.55849223626633	0.39865993924856	4.20272089595986	2.94452652443117	0.959836635647335	0.969312750708681	2.95499799869033	0.476902672186691	0.292179695240396	0.771223223794402	-0.222453906550282	-1.0438357063455	-2.27140415111514	1.18870445189804	-0.291969940490335	2.56076559467225	1.96445281268707	1.26745452387588	0.078125465510828	0.0019662417504963	0.0379516086924423	0.00390928515928516	0.0417238997183914	"Significant"
