	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacteria other	Bacteroidaceae	Bacteroidales other	Bacteroidia other	Bifidobacteriaceae	Burkholderiaceae	Caldicoprobacteraceae	Chloroplast other	Christensenellaceae	Clostridiaceae_1	Clostridiales other	Clostridiales_vadinBB60_group	Coriobacteriales other	Corynebacteriaceae	Deferribacteraceae	Defluviitaleaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XIII	Firmicutes other	Fusobacteriaceae	Gastranaerophilales other	Izimaplasmatales other	Kallotenuales other	Lachnospiraceae	Lactobacillaceae	Lactobacillales other	Marinifilaceae	Mitochondria	Mollicutes_RF39 other	Moraxellaceae	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Proteobacteria other	Pseudomonadaceae	Rhodospirillales other	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Sphingomonadaceae	Streptococcaceae	Tannerellaceae	Veillonellaceae
B150	24	286	13	0	1797	0	0	0	425	0	0	19	0	100	1950	0	0	652	0	635	13	0	0	1779	0	26	0	0	174	0	0	21789	488	0	669	0	20	0	23443	0	88	0	0	33	0	0	329	4722	5483	0	0	0	137	0
B151	3657	2232	9	0	1628	0	0	0	757	0	0	14	0	40	1394	0	0	1359	41	365	9	0	0	810	0	53	2	0	517	0	0	11334	681	0	354	0	27	0	21818	0	104	0	0	1064	0	0	192	4494	6089	0	0	0	464	0
B152	2488	508	68	18	1066	0	0	0	1318	0	0	33	0	71	847	0	0	213	136	526	13	0	0	1755	0	39	0	0	356	0	0	11353	633	0	658	0	175	0	20864	0	112	0	0	1059	0	0	276	5841	7649	0	0	0	247	0
B153	2298	0	15	0	4728	0	5	24	2202	0	0	18	0	123	2280	0	0	1637	91	471	0	0	0	3278	0	98	0	0	236	0	0	11308	651	0	215	0	182	0	23190	0	211	0	0	1100	0	0	218	6104	10190	0	0	0	609	0
B154	2763	345	18	77	3276	0	0	61	2167	0	0	16	0	251	4068	0	0	1762	71	1071	0	0	0	3557	2	149	0	0	243	5	0	19953	961	0	935	0	214	0	29094	0	125	0	0	947	0	0	208	7523	10714	0	0	0	482	0
B155	2119	15	37	15	2200	0	0	28	1394	0	0	5	0	66	715	0	0	498	0	503	8	0	0	1346	0	39	4	0	90	0	0	10063	749	0	264	0	116	0	24842	0	42	0	0	539	0	0	38	2692	5038	0	0	0	321	0
B156	3607	0	34	9	2636	2	0	79	1524	0	0	25	0	89	699	0	0	267	10	433	9	0	0	1186	0	28	0	0	144	0	0	9201	436	0	309	0	60	0	33690	0	98	0	0	1252	0	0	177	4019	6468	0	0	0	450	0
B157	2155	17	34	11	2011	0	0	19	1332	0	0	11	0	72	700	0	0	623	0	454	0	0	0	1193	0	33	0	0	71	0	0	10500	668	0	232	0	80	0	24019	0	64	0	0	457	0	0	44	2632	5440	0	0	0	256	1
B158	2655	29	9	13	3336	0	0	0	860	0	0	27	0	48	1664	0	0	463	25	583	10	0	0	1011	2	39	0	0	558	0	0	13196	1002	0	142	0	146	0	23438	0	142	0	0	1701	0	0	164	5141	8494	0	0	0	413	0
B159	7445	22	14	28	2133	0	0	99	1915	0	0	17	0	85	2391	0	0	973	23	896	7	0	0	3682	0	67	0	0	101	0	0	12316	519	0	273	0	156	0	25540	0	123	0	0	982	0	0	201	4515	7056	0	0	0	636	0
B160	2493	0	28	42	2610	0	0	32	1174	0	0	16	0	399	3163	0	0	827	49	719	0	0	0	1992	0	79	0	0	186	0	0	12283	602	0	362	0	159	0	23932	0	96	0	0	1454	0	0	258	5194	8091	0	0	0	532	0
B161	3052	0	15	0	1299	0	4	0	694	0	0	16	0	106	2046	0	0	576	98	380	2	0	0	733	0	27	0	0	524	0	0	12563	225	0	373	0	120	0	24590	0	53	0	0	1078	0	0	331	5435	8094	0	0	0	148	0
B162	61	8	20	43	3310	0	0	9	1084	0	0	18	0	75	3576	0	0	1745	0	355	32	0	0	255	0	78	0	0	552	0	0	24875	406	0	303	0	504	0	28134	0	126	0	0	967	0	0	268	8159	7358	0	0	0	120	0
B163	1857	9	25	77	1687	0	0	0	1915	0	0	18	0	89	1999	0	0	542	55	384	12	0	0	2774	0	14	0	0	529	0	0	7540	274	0	337	0	214	0	33034	0	140	0	0	1474	0	0	363	5751	7341	0	0	0	350	0
B164	4831	8	14	55	1988	0	0	0	1841	0	3	18	0	84	1707	0	0	324	39	369	6	0	0	3570	0	37	0	0	308	0	0	8239	285	0	122	0	211	0	29013	0	113	0	0	1101	0	0	466	4760	6917	0	0	0	266	0
B165	3135	0	17	15	1296	0	0	0	1449	0	0	23	0	62	1682	0	0	831	41	279	18	0	0	3313	0	46	0	0	465	0	0	14879	28	0	315	0	194	0	24543	0	98	0	0	1114	0	0	411	4697	6605	2	0	0	165	0
B166	822	153	52	3	2155	4	0	0	1407	0	0	37	0	144	1624	0	0	1113	66	386	26	0	0	2897	0	69	0	0	610	0	0	15312	111	0	444	0	433	0	31028	0	261	0	0	2107	0	0	323	9588	12592	0	0	0	369	0
B167	2439	0	45	0	823	0	0	0	1429	0	0	14	0	41	518	0	0	337	53	306	13	0	0	1242	0	50	0	0	235	0	0	7403	202	0	150	0	159	0	21467	0	74	0	0	576	0	0	108	4421	4918	0	0	0	107	0
B168	2575	0	25	17	1621	0	0	0	1120	0	0	22	0	134	1900	0	0	499	81	298	4	0	0	1307	0	22	0	0	188	0	0	17048	216	0	270	0	349	0	16891	0	91	0	0	1034	0	0	159	6106	6985	0	0	0	180	0
B169	8940	0	0	0	1377	0	0	8	2520	50	0	142	1300	0	155	0	0	0	100	1929	5	7	0	1966	0	139	0	0	143	0	0	8159	1719	0	455	2	582	0	41485	0	50	287	0	5047	0	0	880	4737	6920	10	0	0	390	0
B170	5928	0	0	0	1341	0	0	8	2051	42	0	116	1704	1	172	0	0	0	117	324	7	0	0	1758	0	97	0	0	262	0	0	3593	999	0	652	0	511	0	26413	0	18	266	0	5219	0	0	2225	5586	6330	0	0	0	647	0
B171	3910	0	6	0	1750	0	0	157	2306	129	0	163	812	7	306	0	0	0	32	286	0	0	0	2855	0	43	0	0	174	0	0	2755	1075	0	724	0	312	9	29088	0	17	110	0	9166	0	0	767	4966	2523	0	0	0	336	0
B172	4793	0	0	0	2162	0	0	177	2998	46	0	226	1118	403	106	0	0	0	130	989	12	8	0	1852	0	77	0	2	299	0	0	3033	1991	0	829	0	551	0	33549	0	25	29	0	6206	0	0	504	6134	6588	9	0	0	655	0
B173	9261	0	0	2	1321	0	0	403	2605	44	0	72	909	15	152	0	0	0	196	1540	1	4	0	1559	0	87	0	0	845	0	0	4093	1739	0	1022	0	561	0	20267	0	34	466	0	2686	0	0	1205	3921	6701	0	0	0	702	0
B174	5968	0	8	0	2641	0	0	5	2000	28	0	58	38	38	198	0	0	0	77	2321	0	8	0	1740	0	58	0	0	453	0	0	6569	571	0	610	0	815	0	27852	0	75	246	2	5789	0	0	1792	5580	6709	0	0	0	227	0
B175	2958	0	0	0	2231	0	0	0	2508	73	0	187	221	0	156	0	0	0	150	623	0	7	0	1204	0	92	0	0	187	0	0	2939	1611	5	478	0	596	0	27094	0	78	313	0	7062	0	0	1065	4900	8546	8	0	0	621	0
B176	2157	0	0	0	2269	3	0	0	1900	227	0	138	112	6	336	0	0	0	70	366	4	0	0	914	0	54	0	0	161	0	0	2327	1203	0	733	0	862	0	30364	0	24	186	0	8729	0	0	877	6170	3996	0	0	0	320	0
B177	3606	0	0	0	1361	0	0	0	1851	20	0	92	0	161	1064	0	0	0	44	1777	21	0	0	3418	0	83	0	0	209	0	0	16463	1930	0	4012	0	1207	0	25157	0	121	0	0	4653	0	0	703	7462	9141	10	0	0	571	0
B178	9318	0	0	0	1520	0	0	0	881	54	0	54	33	23	663	0	0	0	96	516	0	0	0	488	0	45	0	0	245	0	0	5677	2576	0	1952	0	585	0	22440	0	28	0	0	6479	0	0	705	6207	6236	0	0	0	586	0
B179	4019	0	0	0	1615	0	0	85	1542	0	0	94	3	91	281	0	0	0	56	748	0	0	0	1799	2	56	0	0	158	0	0	4408	1481	0	996	0	549	0	22797	0	51	0	0	4635	2	0	1018	5343	5522	0	0	0	764	0
B180	2179	0	0	0	1784	3	0	31	1199	40	0	81	26	122	533	0	0	0	10	1562	15	7	6	1217	0	70	0	0	351	0	0	11851	2275	0	2688	0	524	0	22524	0	117	0	0	6522	0	0	386	6440	5286	0	0	0	388	0
B181	11558	0	0	0	1219	0	0	534	1625	64	0	38	3	52	392	0	0	0	34	1051	10	0	0	1567	0	75	0	0	239	0	0	6823	1588	0	1414	0	519	0	23375	0	53	0	3	3141	0	0	758	4777	6313	0	0	0	622	0
B182	8410	0	0	0	764	0	0	177	1871	35	0	44	3	3	319	0	0	0	90	693	13	7	0	4462	0	43	0	0	774	0	0	6969	903	0	1026	0	257	0	21761	0	37	0	0	3783	0	0	799	5783	5052	0	0	0	1046	0
B183	4225	0	0	0	520	3	0	121	1004	17	0	24	0	12	308	0	0	0	0	1386	6	0	0	2600	0	25	0	0	87	0	0	3809	399	0	974	0	50	0	12447	0	18	0	0	2145	0	0	78	2493	2083	0	0	0	104	0
B184	1998	0	0	0	3502	0	0	0	1697	79	0	216	0	72	330	0	0	0	54	825	10	0	0	513	0	86	0	0	1723	0	0	5205	493	0	728	10	2021	0	53317	0	42	0	0	18345	0	0	1180	11493	9627	4	0	0	306	0
B185	710	0	0	0	1971	0	0	0	988	41	0	77	0	65	317	0	0	0	0	1994	4	0	0	363	2	113	0	0	702	0	0	10338	421	0	570	0	1030	0	32266	0	132	0	0	9246	0	0	408	6039	9418	0	0	0	160	0
B186	4928	38	20	2	1570	0	0	0	2244	120	0	116	0	6	152	0	0	0	27	892	0	0	0	635	0	14	0	0	153	0	0	3879	434	0	814	0	177	0	35891	0	42	0	0	4391	0	0	346	2813	3100	0	0	0	197	0
B187	6777	31	7	0	1631	0	0	0	3323	22	0	92	0	2	182	0	0	0	41	407	10	11	0	1353	3	47	0	0	344	0	0	2021	394	0	980	0	117	0	35186	0	16	0	0	4452	0	0	145	2446	1538	0	0	0	230	0
B188	154	0	0	0	2504	0	0	0	546	2	0	132	2	97	227	0	0	0	0	2353	33	0	0	190	0	70	0	0	628	0	0	12640	206	0	1036	0	180	0	26895	0	112	0	0	4700	0	0	65	5502	9743	5	0	0	176	0
B189	345	0	0	0	1757	2	0	0	1010	16	0	135	0	14	311	0	0	0	11	980	14	0	0	138	2	15	0	0	191	0	0	5699	171	0	1486	0	25	0	37258	0	43	0	0	5553	0	0	67	3417	2738	0	0	0	160	0
B190	4440	0	0	0	1670	0	0	0	1793	77	0	114	43	0	96	0	0	0	138	560	8	0	0	994	0	93	0	0	594	0	0	2348	637	0	972	0	683	0	38601	0	16	0	0	6675	0	0	1875	4073	4645	0	0	0	191	0
B191	264	0	8	0	3532	4	0	0	804	3	0	201	29	102	335	0	0	0	0	3019	57	0	0	317	0	134	0	0	897	0	0	15681	253	0	1489	0	356	0	39060	0	156	0	0	6996	0	0	119	8410	13331	3	0	0	272	0
B192	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	51	0	0	0	0	23	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	43	0	0	0	0	0	21	0	0	0	0	21	16	0	0
