	A2	ASF356	Acetatifactor	Akkermansia	Alistipes	Alloprevotella	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroides	Bifidobacterium	Bilophila	Butyricicoccus	Butyrivibrio	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Stoquefichus	Caproiciproducens	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavonifractor	GCA-900066225	GCA-900066575	Gastranaerophilales other	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillus	Marvinbryantia	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Parasutterella	Peptococcaceae other	Phocea	Prevotellaceae_UCG-001	Rhodospirillales other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3
B121	0	60	15	7314	6450	0	75	49	360	0	56	18	9315	0	88	207	0	0	0	0	94	0	32	0	31	203	0	0	76	0	0	38	624	0	538	212	0	13	24	15	30	13	37	116	128	53	0	34	409	250	831	25	1434	957	0	6	24	13	156	53	720	268	32433	471	69	0	553	686	788	77	0	4081	710	2037	0	1146	511	1016	493	509	613	134	0	0	150	162	16	3	6275	216	0	0	9	0	0	0
B122	0	6	34	2734	5187	0	73	49	99	0	0	31	3907	0	46	0	0	0	0	0	7	0	35	0	24	282	0	0	77	0	0	11	12	0	51	103	0	237	9	0	10	0	0	87	0	0	0	0	108	386	1099	42	2997	27	0	0	16	0	155	109	111	51	25447	1073	32	0	198	286	1501	29	0	2726	187	822	0	176	155	99	219	302	221	0	0	0	10	83	16	0	2736	37	0	0	20	0	0	0
B123	17	32	46	2489	7289	0	0	153	235	11	0	0	2416	0	219	63	0	0	13	0	3	0	14	0	85	611	0	7	0	0	0	13	0	0	36	76	0	113	24	0	3	0	29	139	0	47	0	27	348	585	1788	30	6055	141	5	4	39	7	277	42	383	670	31148	982	460	0	703	223	599	103	0	1696	352	490	0	510	373	80	533	605	444	51	10	0	74	238	15	20	2383	80	0	0	23	0	0	0
B124	3	0	39	7330	6501	0	0	69	81	0	0	3	4555	0	45	28	0	0	45	0	14	0	27	0	11	87	0	0	49	0	0	6	39	0	84	59	0	149	8	14	3	0	8	84	0	0	0	31	175	396	644	5	2361	62	0	0	29	4	175	0	221	46	25318	504	16	0	194	392	756	47	0	3354	2608	315	0	97	217	49	224	254	203	19	0	0	21	73	28	0	2462	289	3	0	18	0	0	0
B125	0	16	0	5078	4983	0	0	0	77	0	0	9	2131	0	34	23	0	0	0	0	0	0	28	0	14	264	0	0	73	0	0	12	0	0	27	86	0	1073	21	11	6	0	9	46	0	0	0	21	116	261	1251	0	1604	430	0	6	33	4	250	87	234	26	30823	691	186	12	161	290	1604	19	0	2428	342	541	0	45	83	119	166	157	120	0	0	0	15	43	58	2	2439	180	0	0	0	0	0	0
B126	2	5	47	8620	2944	0	0	78	65	11	0	33	1985	0	54	55	0	0	0	0	0	0	21	0	48	328	0	0	65	0	0	0	0	0	91	80	0	1302	8	15	0	9	14	184	0	0	0	37	94	884	3733	22	6145	130	0	18	64	0	102	25	46	68	29952	827	58	4	330	394	1507	73	0	2074	1081	291	0	56	73	126	550	292	218	12	0	0	45	75	48	0	1462	142	15	0	45	0	0	0
B127	8	16	13	4084	5969	0	5	132	267	8	0	21	3364	0	117	32	0	0	0	0	0	0	16	0	40	270	0	0	77	0	0	0	88	0	0	76	0	376	37	9	9	0	24	89	0	0	0	20	312	382	1546	14	3372	13	14	0	40	4	74	41	72	62	27876	547	106	0	390	406	898	74	0	2649	806	478	0	298	346	197	774	447	437	44	0	0	47	174	30	0	3632	168	5	0	24	0	0	0
B128	13	27	155	1818	8042	0	10	168	619	23	80	15	3634	0	346	239	0	0	0	3	0	0	6	0	66	368	0	0	58	0	0	18	848	0	15	100	0	257	31	4	8	35	53	205	0	56	0	51	604	1039	3547	12	9442	261	47	19	31	14	73	42	142	1819	37179	657	137	0	1272	274	878	147	0	4055	304	650	0	602	1245	1027	598	1591	1527	121	14	0	136	436	28	25	3235	120	11	0	92	0	0	0
B129	163	0	180	110	8855	0	21	0	106	0	0	6	3323	0	63	25	0	0	0	0	0	0	14	0	50	465	0	0	55	0	0	0	0	0	40	143	0	26	4	6	13	0	20	68	0	9	0	91	166	844	3434	111	3454	1170	9	0	34	5	21	175	309	175	36488	1022	656	0	566	85	1286	90	37	4207	517	1145	0	329	278	322	179	518	473	45	0	0	9	146	45	0	1424	75	0	0	7	0	17	0
B130	7	45	81	293	8457	0	0	25	68	0	0	3	6873	0	16	30	0	0	0	0	58	0	13	0	13	646	0	0	42	0	0	5	0	0	181	185	0	24	17	27	8	0	0	53	0	0	0	33	140	543	1972	88	3396	141	0	20	54	0	95	162	1706	507	26892	1043	522	0	274	189	1008	47	51	3644	335	1593	0	662	149	62	35	283	204	13	0	0	57	62	64	0	4691	28	8	0	17	0	15	0
B131	111	24	225	26	3162	0	0	0	79	0	0	0	3231	0	134	36	0	0	0	0	315	0	3	0	113	213	0	0	9	0	0	0	0	0	278	94	0	0	6	12	25	0	45	96	0	10	0	55	189	1359	5741	22	20838	1970	22	13	83	5	109	126	106	1330	16647	421	169	0	1749	17	509	173	25	1932	78	1078	0	1487	232	463	734	622	807	50	0	0	14	314	0	0	349	0	65	0	71	0	25	0
B132	100	1706	0	721	2476	0	149	0	458	0	0	2	7514	4	63	22	0	0	0	6	120	0	0	0	48	185	0	0	0	0	0	0	0	0	106	10	0	0	2	0	3	0	366	0	0	0	0	0	29	587	4546	203	11122	2855	0	0	35	31	73	0	0	3640	10304	412	9	7	181	268	1215	64	0	36	15	934	0	756	50	115	0	442	159	0	0	0	0	23	0	7	106	0	179	0	53	0	0	0
B133	0	4	184	849	3026	0	70	0	42	3	0	15	2094	0	213	54	0	0	0	0	19	0	19	0	106	538	0	0	78	0	0	11	0	0	39	133	0	92	12	20	9	0	46	102	0	18	0	43	224	655	2381	16	5280	897	0	13	20	0	70	81	115	211	33786	931	419	0	649	91	1149	105	0	2540	473	487	0	144	216	260	1036	704	447	109	0	0	8	174	30	0	898	21	22	0	22	0	90	0
B134	4	20	24	2703	5205	0	0	44	195	0	0	45	1401	0	29	0	0	0	0	0	3	0	31	0	50	238	0	0	77	0	0	11	0	0	46	94	0	787	20	37	10	12	0	97	0	0	0	21	65	261	1048	0	1837	369	0	0	25	0	530	54	228	47	36442	866	510	9	297	120	1470	39	0	3003	734	388	0	645	216	404	484	252	190	77	0	0	0	71	65	6	2966	261	0	0	14	0	28	0
B135	6	145	36	2176	3417	0	0	79	85	7	0	3	1444	0	76	36	0	0	0	0	0	0	22	0	59	258	0	0	11	0	0	0	0	0	24	68	0	933	20	0	0	13	3	53	0	5	0	63	87	806	1773	18	4508	67	34	0	26	0	137	96	91	61	37537	466	298	6	381	206	1046	44	0	795	292	241	0	297	317	225	615	352	254	8	9	0	9	119	23	25	1472	17	0	0	6	0	48	0
B136	19	0	93	99	5477	10	0	0	114	0	0	0	3317	0	25	0	0	0	0	0	545	0	26	0	16	318	0	0	60	0	0	8	0	0	372	743	0	100	24	31	11	0	20	43	67	6	0	56	152	377	2568	12	3329	851	0	8	38	0	233	184	383	55	33690	958	784	0	435	156	1351	68	0	3801	765	1177	0	108	107	69	417	379	189	74	0	0	15	63	21	3	2370	79	11	0	34	0	23	0
B137	359	6	162	2050	7199	0	322	117	380	15	113	34	3355	0	173	88	0	0	19	0	14	0	17	0	58	1049	0	7	62	0	0	5	8	0	85	116	0	191	41	12	7	22	62	130	0	43	0	102	251	2526	4551	134	10518	1673	17	63	146	9	199	78	521	618	16874	986	438	0	876	313	574	148	0	3364	650	1035	0	815	609	484	1054	771	336	37	6	0	42	114	39	2	4253	122	0	0	52	0	0	0
B138	871	0	416	2245	12812	0	588	46	260	23	0	117	3563	0	240	57	0	0	12	0	5	0	22	0	96	1662	0	0	12	0	0	9	18	0	36	49	0	421	11	2	17	24	140	470	0	64	0	124	494	2133	6943	53	11666	2180	29	91	34	0	151	89	316	783	30950	1758	627	7	2091	381	1094	153	0	2706	1272	1453	0	1457	829	402	814	1218	592	22	6	113	56	268	81	23	3350	63	18	0	111	0	0	0
B139	21	13	9	1054	9123	0	0	25	97	5	0	0	2946	0	40	17	0	0	0	0	12	0	52	0	53	458	0	5	207	0	0	0	0	0	323	240	0	275	20	29	3	17	0	32	0	0	0	18	116	233	927	0	2185	7	0	0	29	6	252	0	99	64	39508	1089	666	0	181	241	1418	0	0	4702	174	1712	0	125	64	103	170	146	95	0	0	0	24	65	66	73	3931	203	0	0	17	0	0	0
B140	403	37	188	55	16585	0	335	164	150	5	0	0	3071	0	156	106	0	0	13	5	0	0	11	0	92	1642	0	8	36	0	0	0	0	0	45	66	0	91	22	8	19	7	46	134	0	18	0	129	451	1274	4014	126	6034	0	22	23	95	20	182	242	602	75	24799	930	1053	0	763	188	645	76	0	2077	109	1694	0	978	612	341	994	908	271	88	15	60	34	108	133	4	2827	20	0	0	9	73	0	0
B141	193	9	3	185	9151	0	77	0	27	0	0	25	2405	0	38	20	0	0	0	0	10	0	41	0	33	248	0	0	0	0	0	0	0	0	93	72	0	292	18	0	0	13	0	12	58	0	0	0	64	477	689	0	1251	62	0	3	16	0	598	46	218	69	34583	1167	499	0	132	188	978	13	0	2521	233	1356	0	158	92	44	201	106	175	22	0	0	38	24	41	29	3691	164	0	0	6	0	0	0
B142	100	17	43	77	13555	0	120	0	113	4	47	0	6767	0	80	127	0	0	0	2	11	0	19	0	34	340	0	0	34	0	0	0	18	5	16	243	0	30	21	29	14	0	16	131	142	4	0	49	212	963	1808	42	3956	284	0	0	62	0	483	130	951	130	22018	647	334	0	863	199	461	63	0	4986	262	2776	0	597	552	174	0	485	345	83	0	48	22	65	70	1	3540	17	9	0	16	18	0	0
B143	11	22	26	1315	12208	0	176	86	376	8	0	11	3499	0	124	94	0	0	0	3	0	0	31	0	66	1358	0	0	48	0	0	14	30	0	10	139	0	117	27	19	9	21	44	112	68	32	0	80	288	485	2690	37	3065	44	0	9	63	3	218	48	309	275	27224	771	202	0	701	218	696	61	12	3510	350	1071	0	848	224	307	434	689	309	103	7	0	70	197	86	3	2845	80	8	0	20	10	0	0
B144	277	17	123	138	10847	9	401	26	129	0	0	55	3461	0	60	75	0	0	0	7	19	0	37	0	22	603	0	0	50	0	0	5	0	0	103	57	0	232	28	28	19	13	40	119	0	11	0	141	157	1019	2155	80	3262	180	0	9	101	5	496	92	438	139	43253	946	1212	0	362	141	1332	60	0	2076	250	1671	0	662	480	200	325	426	202	43	0	45	96	75	159	14	4550	186	0	0	23	24	0	0
B169	74	44	48	8940	4660	4249	0	0	103	10	0	0	1377	8	18	65	0	50	13	10	0	0	142	0	0	155	1287	5	100	1911	1248	0	0	0	143	33	7	0	66	53	10	0	37	117	143	44	48	24	119	273	2772	30	2991	1543	0	11	23	0	1719	0	582	0	40194	1291	455	0	139	390	2520	50	0	794	880	77	287	126	197	55	415	665	557	9	0	44	20	24	134	57	3905	265	0	542	4	37	42	18
B170	9	0	27	5928	5565	4137	0	0	0	0	0	0	1341	8	0	50	0	42	112	0	0	0	78	38	1	172	1592	0	117	324	857	0	0	7	260	19	0	0	76	19	2	3	0	94	262	4	0	0	92	89	2056	16	826	354	0	0	0	0	999	7	511	0	25431	982	652	0	60	647	2051	18	0	1082	2225	21	266	107	132	15	114	685	1594	0	0	22	7	32	55	8	3099	356	0	622	0	0	2	8
B171	9	25	20	3910	4927	7377	0	0	38	0	0	0	1750	157	0	33	0	129	2	0	0	0	77	86	7	306	810	0	32	286	2564	0	0	0	139	84	0	24	19	24	0	0	0	88	174	0	0	0	65	106	438	0	1639	332	0	0	6	0	1075	5	312	0	27991	1097	724	6	129	336	2306	17	0	1789	767	39	110	87	47	25	33	288	247	6	0	23	60	26	88	34	1185	178	0	44	0	0	18	0
